資料日期,全聯貨號,廠商貨號,商品條碼,品名/規格,料號
20231006,71210073,71210073,4710060006060,華強　水晶肥皂食器洗滌液體１０００ｍｌ,HA121001A
20231006,71140132,71140132,4710060006343,華強　水晶肥皂液體－輕柔型２﹒４ｋｇ,HA324001K
20231006,71110016,,4710060006770,華強　水晶肥皂洗衣用粉体１．７９ｋｇ,HA154008K
20231006,51030532,,4710060006794,華強　南僑水晶葡萄柚籽抗菌洗手皂１２０ｇ,HA325001K
20231006,51030531,,4710060006800,華強　南僑水晶葡萄柚籽抗菌洗手液３２０ｇ＋３０ｇ,HA325105
20231006,66230042,,4710060006817,華強　南僑水晶葡萄柚籽萃取噴霧乾洗手７０ｍｌ,HA325207K
20231006,71018500,,4710060007456,華強　南僑水晶肥皂液体－抗菌輕柔型２．２ｋｇ,HA326001K
20231006,71018608,,4710060007654,華強　水晶肥皂洗衣用液體輕柔系列－優雅花香２．４ｋｇ,HA326103K
20231006,61010830,,4710060008231,華強　南僑水晶肥皂－檸檬清香１５０ｇ＊３入,HA113119K
20231006,61010929,,4710060009153,華強　南僑水晶皂力淨洗衣液體皂１６００ｇ,HA327101
20231006,61010942,,4710060009276,華強　南僑葡萄柚籽抗菌洗衣液體皂－維他命Ｅ護纖配方１４００ｇ,HA324010K
20231006,61050066,,4710060009283,華強　水晶肥皂食器洗滌液体－速淨＆清新８００ｍｌ,HA121401K
20231006,61010960,,4710060009429,華強　南僑水晶肥皂２００ｇ＊３塊,HA110150
20231006,61010953,,4710060010524,華強　水晶肥皂液體補充包－輕柔型１６００ｇ,HA324003K
20231006,61010950,,4710060010531,華強　水晶肥皂洗衣用液體輕柔系列補充包－優雅花香１６００ｇ,HA326108K
20231006,61010951,,4710060010548,華強　水晶肥皂洗衣用液體補充包－輕柔系列舒緩草香１６００ｇ,HA326107K
20231006,61010952,,4710060010555,華強　南僑水晶肥皂液体補充包－抗菌輕柔型１５００ｇ,HA326003K
20231006,51030826,,4710060010616,華強　親親香皂１００ｇ＊２,SA219102
20231006,61010991,,4710060100003,華強　南僑水晶Ｓｐｏｒｔｓ抗菌除臭洗衣液體皂瓶裝１０００ｇ,HA328201
20231006,61010992,,4710060100010,華強　南僑水晶Ｓｐｏｒｔｓ抗菌除臭洗衣液體皂補充包８００ｇ,HA328202
20231006,61010994,,4710060100119,華強　南僑水晶葡萄柚籽抗菌防霉洗衣液體皂－室內晾２ｋｇ,HA326501K
20231006,61010995,,4710060100126,華強　南僑水晶葡萄柚籽防霉洗衣液體皂補充包－室內晾１２００ｇ,HA326502K
20231006,61011024,,4710060100324,華強　南僑水晶肥皂－檸檬１５０ｇ＊６贈食器洗滌液體２５０ｍｌ,HA113119E
20240701,61011125,,4710060100645,華強　水晶肥皂２００ｇ＊６入贈南僑皂力淨洗衣液體皂３００ｇ,HA110150Z
20240704,61020444,,4710060100553,華強　南僑水晶六合一酵素衣領精－清新檸檬３５０ｇ,HA421201
